longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-117.04,32.97,13.0,6711.0,1256.0,3683.0,1220.0,4.5746,175700.0
-117.04,32.9,6.0,6525.0,826.0,3146.0,806.0,9.2858,436100.0
-117.04,32.77,16.0,7963.0,1881.0,3769.0,1804.0,2.9624,144700.0
-117.04,32.65,8.0,8806.0,1401.0,3159.0,1059.0,4.2155,247800.0
-117.04,32.6,20.0,8052.0,1461.0,5094.0,1430.0,4.2241,139800.0
-117.05,33.13,20.0,7746.0,2035.0,5370.0,1838.0,2.3762,98500.0
-117.05,33.05,6.0,7916.0,1293.0,2741.0,1204.0,5.6436,278600.0
-117.05,32.97,17.0,9911.0,1436.0,4763.0,1414.0,5.5882,194300.0
-117.05,32.61,21.0,6034.0,1205.0,3795.0,1146.0,3.2633,129700.0
-117.06,33.13,12.0,8742.0,2114.0,4854.0,1957.0,2.8015,143500.0
-117.06,33.09,11.0,7483.0,1276.0,3516.0,1261.0,4.0484,262500.0
-117.07,33.13,17.0,6817.0,1632.0,4526.0,1474.0,2.6152,135300.0
-117.07,33.03,14.0,6665.0,1231.0,2026.0,1001.0,5.09,268500.0
-117.07,33.01,5.0,5870.0,977.0,1917.0,842.0,5.1998,294100.0
-117.07,33.0,4.0,9153.0,1866.0,3775.0,1698.0,4.955,241500.0
-117.07,33.0,4.0,6242.0,1258.0,2211.0,1116.0,4.25,281600.0
-117.08,33.13,17.0,8466.0,2628.0,7014.0,2267.0,2.1437,113700.0
-117.08,32.97,3.0,17466.0,3336.0,7644.0,2895.0,5.4584,246500.0
-117.08,32.93,5.0,14944.0,2490.0,6600.0,2407.0,6.0857,308300.0
-117.08,32.83,7.0,13703.0,2352.0,4446.0,1856.0,6.4335,260600.0
-117.08,32.57,9.0,6298.0,1512.0,4451.0,1456.0,2.569,88300.0
-117.09,34.07,24.0,6260.0,1271.0,3132.0,1189.0,2.5156,103000.0
-117.09,32.81,7.0,6100.0,1185.0,2710.0,1040.0,5.5673,288200.0
-117.09,32.55,8.0,6533.0,1217.0,4797.0,1177.0,3.9583,144400.0
-117.1,33.14,7.0,10665.0,2576.0,4917.0,2424.0,2.3171,159500.0
-117.1,33.0,5.0,15502.0,2613.0,7417.0,2358.0,5.9094,261100.0
-117.11,33.23,13.0,5819.0,919.0,2228.0,866.0,4.9335,298100.0
-117.11,33.15,14.0,8374.0,1407.0,2916.0,1295.0,4.7019,191100.0
-117.12,33.52,4.0,30401.0,4957.0,13251.0,4339.0,4.5841,212300.0
-117.12,32.95,4.0,9018.0,1572.0,4438.0,1498.0,4.988,263700.0
-117.12,32.72,36.0,6096.0,1285.0,3093.0,1229.0,3.37,159100.0
-117.13,32.63,10.0,7374.0,1157.0,1900.0,794.0,8.7991,478500.0
-117.14,34.01,26.0,7561.0,1051.0,2909.0,1012.0,7.2972,269600.0
-117.14,33.12,7.0,6126.0,1032.0,2662.0,923.0,4.9005,264000.0
-117.14,33.07,12.0,9302.0,1603.0,4074.0,1504.0,4.3513,199600.0
-117.14,32.96,12.0,5949.0,799.0,2936.0,781.0,6.3721,241500.0
-117.14,32.74,16.0,6075.0,1816.0,2592.0,1634.0,2.5553,178100.0
-117.15,33.7,2.0,6305.0,1265.0,2489.0,1152.0,3.1319,111500.0
-117.15,33.45,4.0,9089.0,1413.0,3886.0,1243.0,4.6904,174200.0
-117.15,33.02,4.0,15029.0,2279.0,5613.0,1696.0,7.2731,450400.0
-117.16,34.26,27.0,9285.0,1621.0,1135.0,410.0,2.5446,135200.0
-117.16,33.57,2.0,20391.0,3245.0,7132.0,2716.0,3.9443,187300.0
-117.16,32.89,5.0,8576.0,1952.0,5006.0,1827.0,4.3598,189100.0
-117.17,34.12,3.0,15695.0,2248.0,6080.0,1920.0,6.2178,173900.0
-117.17,34.07,24.0,6573.0,1235.0,2904.0,1202.0,3.0651,108000.0
-117.17,33.66,2.0,7401.0,1187.0,2826.0,839.0,4.1386,177300.0
-117.17,32.68,16.0,5895.0,1424.0,873.0,522.0,7.3669,187500.0
-117.18,33.16,15.0,5923.0,1206.0,3943.0,1006.0,3.1793,159900.0
-117.18,33.15,7.0,6225.0,1683.0,5410.0,1580.0,2.32,117500.0
-117.18,32.95,4.0,19001.0,2688.0,8980.0,2441.0,6.3237,260900.0
-117.18,32.81,19.0,6823.0,1509.0,3784.0,1509.0,3.1032,179500.0
-117.19,34.27,16.0,7961.0,1147.0,879.0,280.0,5.2146,255200.0
-117.19,34.06,21.0,6107.0,1559.0,2805.0,1444.0,2.5643,102700.0
-117.19,33.9,3.0,21060.0,3366.0,9623.0,2812.0,4.189,143000.0
-117.19,33.7,24.0,5783.0,1256.0,1990.0,1151.0,1.9014,83500.0
-117.19,33.69,3.0,6484.0,1037.0,3295.0,1074.0,4.5881,136400.0
-117.2,34.46,7.0,8414.0,1584.0,5146.0,1517.0,3.2794,92500.0
-117.2,34.26,17.0,9419.0,1455.0,1382.0,459.0,6.2233,230900.0
-117.2,34.24,22.0,8106.0,1665.0,1062.0,423.0,3.0434,137200.0
-117.2,33.7,23.0,6323.0,1196.0,1984.0,1124.0,2.3276,92400.0
-117.2,33.07,5.0,10394.0,1617.0,4496.0,1553.0,5.9289,411300.0
-117.21,34.08,5.0,5749.0,1385.0,2382.0,1088.0,3.0587,143100.0
-117.21,33.97,3.0,18356.0,2537.0,8437.0,2342.0,5.6409,197700.0
-117.21,33.95,5.0,8403.0,1240.0,3962.0,1150.0,5.2174,155500.0
-117.21,33.93,4.0,10002.0,1468.0,5439.0,1397.0,5.0223,152600.0
-117.21,33.71,16.0,8476.0,1758.0,2711.0,1427.0,2.1848,97900.0
-117.21,33.61,7.0,7722.0,1324.0,2975.0,1161.0,3.6273,150900.0
-117.21,32.96,3.0,6251.0,988.0,2330.0,893.0,8.4355,467600.0
-117.22,34.54,8.0,12526.0,2495.0,6133.0,2324.0,2.9072,119200.0
-117.22,34.13,10.0,5951.0,1330.0,3204.0,1159.0,2.7011,110200.0
-117.22,33.92,5.0,16884.0,2865.0,9509.0,2688.0,4.0938,130900.0
-117.22,33.9,8.0,8302.0,1461.0,5155.0,1370.0,4.0467,121500.0
-117.22,33.81,4.0,9911.0,1946.0,5145.0,1661.0,3.4237,113700.0
-117.22,32.75,34.0,6001.0,1111.0,2654.0,1072.0,4.5878,291000.0
-117.23,34.51,9.0,5756.0,807.0,2158.0,758.0,5.5875,167800.0
-117.23,33.96,5.0,9179.0,1361.0,4573.0,1294.0,5.253,163300.0
-117.23,33.94,7.0,13195.0,2696.0,6763.0,2437.0,3.5851,142000.0
-117.23,33.89,5.0,11775.0,2031.0,6686.0,1911.0,4.1953,136600.0
-117.23,33.57,6.0,13724.0,2269.0,5860.0,1986.0,3.9617,183000.0
-117.24,33.95,11.0,6617.0,1118.0,3710.0,1087.0,4.7877,132600.0
-117.24,33.77,9.0,6907.0,1379.0,3665.0,1290.0,2.8401,104200.0
-117.24,33.05,11.0,5827.0,882.0,2588.0,842.0,6.4027,344200.0
-117.24,32.98,4.0,6423.0,1042.0,2607.0,983.0,7.6348,337000.0
-117.25,34.53,13.0,5841.0,955.0,2455.0,915.0,4.1333,158200.0
-117.25,34.04,18.0,5761.0,1063.0,2763.0,1058.0,4.4472,161100.0
-117.25,33.95,5.0,13096.0,2208.0,6780.0,2180.0,4.2775,138700.0
-117.25,33.92,7.0,9812.0,1914.0,5595.0,1729.0,4.1482,124600.0
-117.25,33.25,6.0,6160.0,993.0,2997.0,1029.0,4.6187,205000.0
-117.25,33.12,8.0,8552.0,1437.0,3335.0,1323.0,5.311,255800.0
-117.25,33.06,6.0,9859.0,1448.0,4194.0,1401.0,6.439,296200.0
-117.25,32.82,23.0,6139.0,826.0,2036.0,807.0,9.5245,500001.0
-117.27,34.4,8.0,6042.0,979.0,3031.0,991.0,3.3438,124400.0
-117.27,34.39,6.0,6988.0,1121.0,3660.0,1092.0,4.2224,125700.0
-117.27,34.23,26.0,6339.0,1244.0,1177.0,466.0,3.7708,110400.0
-117.27,33.92,13.0,8443.0,1744.0,4885.0,1470.0,3.0907,127200.0
-117.27,33.68,8.0,26322.0,4072.0,9360.0,3361.0,5.3238,228900.0
-117.27,33.55,4.0,6112.0,890.0,2088.0,712.0,5.5351,429000.0
-117.27,33.23,5.0,20908.0,3933.0,9690.0,3510.0,4.1405,198500.0
-117.27,33.21,5.0,5764.0,996.0,3161.0,1012.0,4.4531,177500.0
-117.28,33.89,33.0,6982.0,1371.0,5650.0,1195.0,2.5379,152700.0
-117.29,35.54,35.0,7922.0,1636.0,3431.0,1329.0,3.4145,40400.0
-117.29,34.41,11.0,5934.0,1380.0,2756.0,1239.0,1.5758,108300.0
-117.29,34.03,9.0,8185.0,1525.0,3630.0,1466.0,4.1667,197700.0
-117.29,33.97,4.0,18767.0,3032.0,8805.0,2723.0,4.6667,160600.0
-117.29,33.63,7.0,16010.0,2726.0,7139.0,2426.0,3.8056,162200.0
-117.29,33.1,6.0,6091.0,1018.0,2064.0,957.0,5.1837,259800.0
-117.3,34.46,8.0,6246.0,1273.0,3883.0,1264.0,2.7917,98200.0
-117.3,33.22,4.0,14960.0,2988.0,6666.0,2612.0,3.7568,184100.0
-117.3,33.17,6.0,7880.0,1533.0,3760.0,1460.0,4.1807,182600.0
-117.31,34.15,7.0,5747.0,1307.0,2578.0,1147.0,3.3281,122200.0
-117.31,34.05,6.0,7423.0,2111.0,4092.0,1789.0,2.7002,88300.0
-117.31,33.19,11.0,20944.0,3753.0,8738.0,3441.0,4.3762,215500.0
-117.31,33.11,7.0,7974.0,1703.0,2904.0,1550.0,4.1282,188100.0
-117.32,34.54,9.0,5904.0,1165.0,3489.0,1063.0,3.125,92800.0
-117.32,33.25,7.0,8206.0,1523.0,4399.0,1423.0,3.6301,170900.0
-117.32,33.15,15.0,13245.0,2212.0,5495.0,2060.0,5.4904,262100.0
-117.33,33.9,2.0,12837.0,1842.0,4636.0,1453.0,5.1512,187800.0
-117.33,33.17,11.0,10923.0,2041.0,4773.0,1858.0,4.0791,281300.0
-117.34,34.1,14.0,11827.0,2445.0,6640.0,2299.0,2.4878,103800.0
-117.34,33.98,10.0,17286.0,4952.0,9851.0,4616.0,1.7579,103400.0
-117.34,33.96,15.0,6437.0,1298.0,2805.0,1205.0,4.1883,184500.0
-117.34,33.94,13.0,7910.0,1195.0,3382.0,1176.0,5.5563,214500.0
-117.34,33.21,12.0,5963.0,1372.0,3015.0,1124.0,2.7386,216100.0
-117.34,33.15,19.0,5710.0,1423.0,4163.0,1406.0,3.0306,178500.0
-117.35,34.44,9.0,11810.0,2181.0,6716.0,2081.0,3.1821,95600.0
-117.35,34.2,5.0,9269.0,1605.0,4916.0,1519.0,4.4367,133200.0
-117.35,34.09,14.0,5983.0,1224.0,3255.0,1150.0,2.5902,111500.0
-117.35,33.64,23.0,6859.0,1535.0,3405.0,1351.0,2.5395,109200.0
-117.36,34.48,3.0,16533.0,2549.0,7588.0,2285.0,3.9792,122100.0
-117.36,34.08,4.0,8866.0,1832.0,4775.0,1554.0,3.7348,125800.0
-117.37,34.59,39.0,8193.0,1747.0,6852.0,1597.0,2.3832,35000.0
-117.37,34.13,18.0,5877.0,1043.0,3114.0,1002.0,4.0294,133200.0
-117.37,33.94,14.0,9286.0,1269.0,3565.0,1238.0,6.6635,219600.0
-117.38,34.14,11.0,10804.0,1493.0,5221.0,1482.0,5.246,161400.0
-117.38,34.12,17.0,5959.0,1208.0,4115.0,1088.0,2.4053,105200.0
-117.38,33.67,17.0,10145.0,2306.0,4776.0,1749.0,2.2423,132600.0
-117.39,34.38,4.0,7151.0,1295.0,3527.0,1170.0,3.5696,129700.0
-117.4,34.15,4.0,12156.0,1864.0,5020.0,1524.0,4.7909,149200.0
-117.4,34.09,5.0,6190.0,993.0,3615.0,963.0,4.4034,133200.0
-117.4,33.85,9.0,7538.0,1125.0,3450.0,1077.0,5.4625,223600.0
-117.41,34.11,12.0,6758.0,1550.0,3204.0,1279.0,2.5181,105500.0
-117.42,34.13,4.0,11587.0,1796.0,5804.0,1705.0,4.8283,141900.0
-117.42,33.98,16.0,10072.0,2043.0,5913.0,1909.0,3.0606,119500.0
-117.42,33.35,14.0,25135.0,4819.0,35682.0,4769.0,2.5729,134400.0
-117.43,34.12,7.0,5954.0,1071.0,3567.0,1070.0,3.2056,134100.0
-117.43,33.91,15.0,14281.0,2511.0,7540.0,2245.0,4.3222,138000.0
-117.44,34.45,6.0,6068.0,1137.0,3094.0,947.0,3.5167,130900.0
-117.44,33.99,12.0,9966.0,1517.0,5008.0,1492.0,4.5625,171300.0
-117.45,34.11,7.0,6356.0,1244.0,4052.0,1164.0,2.9112,121700.0
-117.45,33.93,20.0,5998.0,1320.0,3185.0,1199.0,3.2731,113900.0
-117.46,34.85,7.0,9759.0,1816.0,2933.0,1168.0,3.4912,157700.0
-117.46,34.04,3.0,12870.0,2315.0,5820.0,1759.0,4.2429,147300.0
-117.47,34.12,6.0,10565.0,1767.0,5690.0,1555.0,4.1797,141000.0
-117.47,33.98,8.0,12106.0,1913.0,5810.0,1717.0,4.9886,158100.0
-117.47,33.95,15.0,6248.0,1249.0,3795.0,1128.0,4.1264,124600.0
-117.48,34.0,12.0,6751.0,1153.0,3266.0,1134.0,3.8529,145500.0
-117.48,33.89,14.0,10395.0,1799.0,6295.0,1855.0,4.7295,149900.0
-117.49,34.04,4.0,6034.0,1170.0,3527.0,1098.0,4.1775,143700.0
-117.49,33.9,7.0,10235.0,2238.0,5271.0,2094.0,3.6071,159100.0
-117.5,34.12,2.0,11965.0,1802.0,4436.0,1296.0,5.285,191700.0
-117.5,33.96,12.0,7923.0,1470.0,4861.0,1385.0,4.2985,139200.0
-117.51,33.95,12.0,9016.0,1486.0,4285.0,1457.0,4.9984,169100.0
-117.52,33.99,14.0,13562.0,2057.0,7600.0,2086.0,5.2759,182900.0
-117.52,33.89,2.0,17978.0,3217.0,7305.0,2463.0,5.1695,220800.0
-117.54,34.47,4.0,6712.0,1200.0,3126.0,1026.0,3.2277,126500.0
-117.54,34.12,4.0,17577.0,2819.0,7766.0,2473.0,5.1333,181800.0
-117.55,34.14,3.0,5710.0,919.0,2874.0,886.0,5.3638,206300.0
-117.55,33.87,18.0,8136.0,1584.0,4976.0,1516.0,3.9414,137100.0
-117.55,33.85,4.0,8207.0,1373.0,3887.0,1304.0,4.8686,195300.0
-117.56,34.12,4.0,6956.0,1271.0,3455.0,1228.0,4.7193,178700.0
-117.56,33.86,25.0,6964.0,1066.0,3240.0,1036.0,5.2898,177100.0
-117.57,34.02,5.0,6933.0,1311.0,3845.0,1285.0,4.6727,158900.0
-117.58,34.14,7.0,11818.0,1745.0,5499.0,1600.0,5.3678,231700.0
-117.58,34.1,4.0,6360.0,1584.0,3359.0,1396.0,3.5186,127800.0
-117.58,34.02,4.0,5998.0,1092.0,3182.0,1042.0,5.2692,174800.0
-117.58,34.0,2.0,7544.0,1516.0,2801.0,1001.0,4.0037,245200.0
-117.58,33.85,6.0,16431.0,2640.0,8222.0,2553.0,5.2861,195100.0
-117.59,34.16,10.0,9467.0,1181.0,3819.0,1122.0,7.8252,361400.0
-117.59,34.13,10.0,20263.0,3915.0,9716.0,3744.0,3.8505,169600.0
-117.59,33.91,7.0,10223.0,1491.0,5205.0,1509.0,5.4872,203400.0
-117.6,33.87,18.0,6450.0,1165.0,3716.0,1113.0,4.2721,150300.0
-117.6,33.85,9.0,6538.0,955.0,2928.0,892.0,5.3006,221400.0
-117.61,34.14,14.0,15809.0,2485.0,7363.0,2410.0,5.5198,245600.0
-117.61,34.13,21.0,8416.0,1386.0,4308.0,1341.0,4.4611,164600.0
-117.61,34.1,9.0,18956.0,4095.0,10323.0,3832.0,3.6033,132600.0
-117.62,34.44,6.0,8884.0,1687.0,3767.0,1334.0,3.599,140200.0
-117.62,34.15,16.0,13556.0,1704.0,5669.0,1668.0,6.5138,311500.0
-117.62,34.07,16.0,6009.0,1599.0,5110.0,1389.0,2.5677,128900.0
-117.62,33.64,2.0,7826.0,893.0,2985.0,790.0,10.1531,484100.0
-117.63,34.37,20.0,7052.0,1306.0,2197.0,810.0,3.7252,167100.0
-117.63,33.46,7.0,7684.0,1088.0,2812.0,1057.0,6.3401,387300.0
-117.63,33.38,12.0,5744.0,1054.0,2104.0,847.0,5.1482,500001.0
-117.64,33.88,13.0,8010.0,1366.0,3920.0,1309.0,5.536,204800.0
-117.64,33.68,4.0,5687.0,970.0,2677.0,938.0,6.5069,243400.0
-117.65,33.6,15.0,5736.0,800.0,2529.0,762.0,6.4114,278700.0
-117.65,33.53,7.0,6814.0,785.0,2175.0,681.0,10.49,500001.0
-117.65,33.45,15.0,7468.0,1275.0,3033.0,1217.0,5.49,239300.0
-117.66,35.62,11.0,5897.0,1138.0,2728.0,1072.0,4.15,85700.0
-117.66,35.61,5.0,5735.0,932.0,2623.0,862.0,4.8494,87200.0
-117.66,33.65,13.0,8527.0,1364.0,4597.0,1393.0,6.2242,237900.0
-117.67,33.67,5.0,10534.0,2035.0,4656.0,1863.0,5.7797,309200.0
-117.67,33.66,4.0,10175.0,2181.0,4762.0,1929.0,4.7341,237400.0
-117.67,33.63,9.0,5774.0,1320.0,3086.0,1265.0,4.4063,202200.0
-117.68,34.1,11.0,7392.0,1796.0,3841.0,1621.0,2.8326,163000.0
-117.68,34.01,20.0,7326.0,1555.0,5718.0,1538.0,3.2073,123500.0
-117.68,33.63,13.0,5830.0,921.0,2897.0,891.0,6.2403,257400.0
-117.68,33.57,2.0,10008.0,1453.0,3550.0,1139.0,10.1122,500001.0
-117.69,33.58,5.0,6678.0,1011.0,2877.0,982.0,7.5177,330000.0
-117.69,33.52,3.0,7374.0,1444.0,3214.0,1279.0,4.538,278200.0
-117.7,33.92,4.0,8301.0,1333.0,3941.0,1236.0,6.2141,252200.0
-117.7,33.62,16.0,9653.0,2000.0,4732.0,1922.0,3.7361,197200.0
-117.7,33.59,11.0,8039.0,1717.0,3445.0,1571.0,4.1678,190900.0
-117.7,33.5,4.0,7474.0,1037.0,2969.0,1007.0,8.7591,434700.0
-117.71,34.15,17.0,17715.0,2370.0,7665.0,2312.0,7.9068,349100.0
-117.71,34.12,20.0,11250.0,1893.0,4952.0,1859.0,5.6785,239500.0
-117.71,33.97,10.0,10856.0,2278.0,6474.0,2199.0,3.851,137200.0
-117.72,33.97,16.0,13290.0,2062.0,6931.0,2023.0,5.228,187800.0
-117.72,33.62,19.0,5777.0,1261.0,1711.0,1225.0,2.7634,86900.0
-117.73,34.12,26.0,6459.0,894.0,2487.0,885.0,6.2089,261800.0
-117.73,33.53,3.0,6388.0,920.0,2129.0,819.0,7.8915,420600.0
-117.74,33.97,4.0,9755.0,1748.0,4662.0,1583.0,5.6501,254900.0
-117.74,33.89,4.0,37937.0,5471.0,16122.0,5189.0,7.4947,366300.0
-117.74,33.46,9.0,6564.0,1316.0,1720.0,904.0,4.89,454100.0
-117.75,34.1,21.0,8069.0,2174.0,4369.0,2036.0,3.2756,156800.0
-117.75,34.01,4.0,22128.0,3522.0,10450.0,3258.0,6.1287,289600.0
-117.75,33.54,21.0,8711.0,1544.0,3173.0,1396.0,5.0907,378200.0
-117.76,34.13,8.0,16759.0,2274.0,7249.0,2156.0,7.4837,358700.0
-117.76,33.98,3.0,9662.0,1385.0,2497.0,856.0,6.7172,292400.0
-117.76,33.79,4.0,8974.0,1268.0,3754.0,1241.0,8.2653,374000.0
-117.78,34.58,6.0,10263.0,1864.0,6163.0,1781.0,3.8803,120000.0
-117.78,34.13,18.0,7798.0,1161.0,3710.0,1227.0,5.8819,260500.0
-117.78,34.11,23.0,7079.0,1381.0,3205.0,1327.0,3.0735,212300.0
-117.78,34.03,8.0,32054.0,5290.0,15507.0,5050.0,6.0191,253900.0
-117.78,33.9,14.0,6239.0,901.0,2923.0,904.0,6.5437,268200.0
-117.78,33.89,7.0,9729.0,1210.0,4160.0,1214.0,8.9088,415300.0
-117.78,33.82,12.0,6208.0,750.0,2443.0,739.0,9.1808,413700.0
-117.78,33.78,6.0,9792.0,1283.0,3744.0,1179.0,10.1714,481500.0
-117.79,34.02,5.0,18690.0,2862.0,9427.0,2777.0,6.4266,315600.0
